name_en,name_de
An animal,Ein Tier
A city,Eine Stadt
A country,Ein Land
A country with right-hand traffic,Ein Land mit Rechtsverkehr
A country with left-hand traffic,Ein Land mit Linksverkehr
A profession,Ein Beruf
A job title,Eine Berufsbezeichnung
An actor,Schauspielerin oder Schauspieler
A singer,Sängerin oder Sänger
A celebrity,Eine prominente Person
A historical figure,Eine historische Persönlichkeit
A superhero,Superheldin oder Superheld
A movie,Ein Film
A TV show,Eine TV-Serie
A cartoon character,Eine Zeichentrickfigur
A book,Ein Buch
A podcast,Ein Podcast
A song,Ein Lied
A band,Eine Band
A music genre,Ein Musikgenre
A movie genre,Ein Filmgenre
A language,Eine Sprache
A programming language,Eine Programmiersprache
An English word,Ein englisches Wort
A French word,Ein französisches Wort
A Spanish word,Ein spanisches Wort
A school subject,Ein Schulfach
A university,Eine Universität
A museum,Ein Museum
A famous building,Ein berühmtes Bauwerk
A holiday,Ein Feiertag
A festival,Ein Festival
A car brand,Eine Automarke
A tech brand,Eine Technikmarke
A software company,Ein Softwareunternehmen
A social media platform,Eine Social-Media-Plattform
A mobile app,Eine App
A vehicle,Ein Fahrzeug
A board game,Ein Brettspiel
A card game,Ein Kartenspiel
A video game,Ein Videospiel
A toy,Ein Spielzeug
A household item,Ein Haushaltsgegenstand
A piece of furniture,Ein Möbelstück
A kitchen appliance,Ein Küchengerät
A tool,Ein Werkzeug
Can be found in the supermarket,Findet man im Supermarkt
Can be found at school,Findet man in der Schule
Can be found outside,Findet man draußen
Can be found in the living room,Findet man im Wohnzimmer
Can be found in the bathroom,Findet man im Badezimmer
Can be found in the bedroom,Findet man im Schlafzimmer
Can be found in the kitchen,Findet man in der Küche
Can be found in the basement,Findet man im Keller
A sport,Eine Sportart
A hobby,Ein Hobby
A food,Ein Lebensmittel
A dessert,Ein Dessert
A drink,Ein Getränk
A dairy product,Ein Milchprodukt
A type of pasta,Eine Pastasorte
A fruit,Eine Frucht
A vegetable,Ein Gemüse
A spice,Ein Gewürz
Something sweet,Eine Süßigkeit
A gemstone,Ein Edelstein
A chemical element,Ein chemisches Element
A planet,Ein Planet
A weather phenomenon,Ein Wetterphänomen
A river,Ein Fluss
A mountain,Ein Berg
A plant,Eine Pflanze
A tree,Ein Baum
A flower,Eine Blume
A piece of fabric,Etwas aus Stoff
Something made of metal,Etwas aus Metall
A body part,Ein Körperteil
An organ,Ein Organ
A clothing item,Ein Kleidungsstück
A clothing brand,Eine Bekleidungsmarke
A makeup brand,Eine Make-up-Marke
An insect,Ein Insekt
A mammal,Ein Säugetier
A fish,Ein Fisch
A bird,Ein Vogel
A reptile,Ein Reptil
An amphibian,Ein Amphibium
A sea creature,Ein Meerestier
A disease,Eine Krankheit
A mythological creature,Ein Fabelwesen
A dance style,Ein Tanzstil
A type of tea,Eine Teesorte
Larger than an elephant,Größer als ein Elefant
Smaller than a soccer ball,Kleiner als ein Fußball
Many people find it attractive,Finden viele Menschen attraktiv
An insult,Ein Schimpfwort
A female first name,Vorname weiblich
A male first name,Vorname männlich
A reason to celebrate,Grund zu feiern
A reason to go back to bed,Grund wieder ins Bett zu gehen
A reason to skip work,Grund Arbeit zu schwänzen
A reason to feel sad,Grund traurig zu sein
A reason to drink,Grund zu trinken
A reason to treat yourself,Grund sich etwas zu gönnen
A reason for divorce,Grund für eine Scheidung
A reason to cheat,Grund für Fremdgehen
A reason to laugh,Grund zum Lachen
A politician,Politikerin oder Politiker
A dead person,Eine tote Person
The hiking trip goes to,Der Wandertag geht nach
Something for bread,Etwas fürs Brot
Needed for baking,Braucht man beim Backen
In a handbag,In der Handtasche
A name I would not give my child,Name den ich meinem Kind nicht geben würde
A TV channel,Ein Fernsehsender
In the fridge,Findet man im Kühlschrank
A lake,Ein See
Cannot be kept as a pet,Kann man nicht als Haustier halten
A bank or bench,Eine Bank
A dish,Ein Gericht
Must be cooked,Muss man kochen
Can be eaten raw,Kann man roh essen
Has corners,Hat Ecken
Can be found in the hospital,Findet man im Krankenhaus
Can be found in a tree,Findet man auf dem Baum
A vacation destination,Ein Urlaubsziel
A superpower,Eine Superkraft
Can be baked,Kann man backen
A reality TV format,Ein Reality-TV-Format
A person over 40,Eine Person über 40
I do this during vacation,Mache ich in den Ferien
Can be bought on Amazon,Kann man bei Amazon kaufen
Can be found in a hardware store,Findet man im Baumarkt
Can be found in a pet store,Findet man in der Tierhandlung
A sex position,Eine Sexposition
A place for sex,Ein Ort für Sex
A fictional character,Eine fiktive Figur
Can be learned,Kann man lernen
Not vegan,Nicht vegan
A restaurant chain,Eine Restaurantkette
An athlete,Sportlerin oder Sportler
A place to buy drugs,Ein Ort um Drogen zu kaufen
A crime,Eine Straftat
A date idea,Dateidee
A ministry,Ein Ministerium
Can be found in the car,Findet man im Auto
A writer,Schriftstellerin oder Schriftsteller
A cocktail,Ein Cocktail
An adjective,Ein Adjektiv
A verb,Ein Verb
A noun,Ein Nomen
I would take this to a deserted island,Nehme ich mit auf eine einsame Insel
I would buy this with a lottery win,Kaufe ich vom Lottogewinn
A fear of,Angst vor
Fits in the mouth,Passt in den Mund
Is healthy,Ist gesund
Is unhealthy,Ist ungesund
A porn category,Pornokategorie
Synonyms for masturbating,Synonyme für masturbieren
A newspaper,Eine Zeitung
A feeling,Ein Gefühl
Is creepy,Ist gruselig
Is disgusting,Ist ekelig
Is tasty,Ist lecker
A cosmetic item,Ein Kosmetikartikel
A party theme,Ein Partymotto
Does not belong in a cake,Gehört nicht in den Kuchen
A soccer club,Ein Fußballverein
Is soft,Ist weich
Is hard,Ist hart
Is liquid,Ist flüssig
Something green,Etwas Grünes
Something blue,Etwas Blaues
Something red,Etwas Rotes
Something yellow,Etwas Gelbes
Is pink,Ist rosa
A murder weapon,Eine Mordwaffe
An influencer,Influencerin oder Influencer
Can be found in a school backpack,Findet man im Schulranzen
A Disney movie,Ein Disney-Film
An airline,Eine Fluggesellschaft
At the Olympics,Bei Olympia
A tourist attraction,Eine Sehenswürdigkeit
A capital city,Eine Hauptstadt
From IKEA,Von IKEA
A country in Africa,Land in Afrika
A country in Asia,Land in Asien
A country in Europe,Land in Europa
A country in North or South America,Land in Nord- oder Südamerika
A state or federal state,Bundesstaat oder Bundesland
Can be found on the face,Findet man im Gesicht
A pizza topping,Ein Pizzabelag
Can be found on an airplane,Findet man im Flugzeug
Can be found at the airport,Findet man am Flughafen
A place for a first date,Ort für das erste Date
Everyone owns it,Besitzt jede Person
Synonyms for penis,Synonyme für Penis
A streaming service,Ein Streamingdienst
Can be found in the park,Findet man im Park